5.407315336309452	6.177820049775117	2.3106826462776473	0.0850457957458517	8.433017530181333	0.8442240910300514	5.828715788213653	9.738077642712312	2.1093885830597703	7.898418168588668	7.061678841135177	0.23193510721916	5.591104161627082	3.042072150411367	6.546373988475808
0	1	0	1	0	1	0	0	0	1	1	1	0	1	1
2	2	1	1	2	2	2	2	1	2	1	2	1	1	1
2	1	1	2	1	2	1	2	1	2	1	2	1	1	2
1	1	1	2	2	1	1	2	1	2	2	1	2	2	2
1	2	2	2	2	1	1	1	2	2	1	1	2	2	2
1	2	1	2	1	2	1	1	2	2	2	1	2	2	1
1	2	1	2	2	1	2	2	2	2	1	1	1	1	1
2	2	2	1	2	1	1	2	2	1	2	1	1	2	1
2	1	2	2	1	1	1	1	1	2	2	1	1	2	1
1	1	2	2	1	1	1	1	2	1	1	1	1	1	2
1	2	1	1	1	2	1	1	2	2	1	2	2	2	1
2	2	2	1	1	2	2	1	1	1	1	1	2	1	2
1	1	1	1	1	2	2	2	1	2	1	1	2	2	1
1	2	1	2	1	2	1	2	1	1	1	1	2	1	1
2	2	2	1	1	1	1	1	2	2	1	2	1	1	1
2	1	1	1	1	1	1	1	2	2	1	2	2	2	1
1	1	1	2	1	1	1	2	2	1	1	2	2	2	1
1	1	2	1	2	2	1	2	1	2	2	1	2	2	1
2	2	1	1	2	2	2	2	2	2	2	1	1	2	1
1	2	1	1	2	2	2	2	1	2	1	2	1	2	2
2	1	1	1	1	1	2	1	2	2	2	2	2	2	2
